method,game,seed,logdir,wandb_url,source,run_completed,is_partial,x_axis_frames,x_axis_agent_actions,score_type,score_mean,score_std,score_min,score_max,eval_episodes,timestamp,frames_target,agent_actions_target,protocol_compatible_with_reference,notes
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,86388.0,21597.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,87472.0,21868.0,episode_score,2.0,,2.0,2.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,88616.0,22154.0,episode_score,3.0,,3.0,3.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,89692.0,22423.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,91024.0,22756.0,episode_score,6.0,,6.0,6.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,91732.0,22933.0,episode_score,0.0,,0.0,0.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,92480.0,23120.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,93388.0,23347.0,episode_score,3.0,,3.0,3.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,94408.0,23602.0,episode_score,2.0,,2.0,2.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,95320.0,23830.0,episode_score,3.0,,3.0,3.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,96484.0,24121.0,episode_score,2.0,,2.0,2.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,97460.0,24365.0,episode_score,3.0,,3.0,3.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,98268.0,24567.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,100148.0,25037.0,episode_score,2.0,,2.0,2.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,101132.0,25283.0,episode_score,3.0,,3.0,3.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,104044.0,26011.0,episode_score,14.0,,14.0,14.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,106024.0,26506.0,episode_score,10.0,,10.0,10.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,111428.0,27857.0,episode_score,3.0,,3.0,3.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,112540.0,28135.0,episode_score,3.0,,3.0,3.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,113820.0,28455.0,episode_score,3.0,,3.0,3.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,115344.0,28836.0,episode_score,4.0,,4.0,4.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,116752.0,29188.0,episode_score,4.0,,4.0,4.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,117748.0,29437.0,episode_score,3.0,,3.0,3.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,125012.0,31253.0,episode_score,7.0,,7.0,7.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,126400.0,31600.0,episode_score,5.0,,5.0,5.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,129048.0,32262.0,episode_score,5.0,,5.0,5.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,130772.0,32693.0,episode_score,4.0,,4.0,4.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,133768.0,33442.0,episode_score,4.0,,4.0,4.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,134824.0,33706.0,episode_score,3.0,,3.0,3.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
