game,seed,status,completed,progress_frames,progress_agent_actions,progress_source,latest_score_frame,latest_score,score_source,logdir,error_hint
gopher,2,completed,True,440000,110000,update_trace_v6,437940,1460.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/gopher/seed_2,
gopher,3,completed,True,440000,110000,update_trace_v6,437648,80.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/gopher/seed_3,
gopher,4,completed,True,440000,110000,update_trace_v6,437392,1380.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/gopher/seed_4,
hero,0,completed,True,440000,110000,update_trace_v6,439128,7485.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/hero/seed_0,
hero,1,completed,True,440000,110000,update_trace_v6,439152,11340.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/hero/seed_1,
hero,2,completed,True,440000,110000,update_trace_v6,434320,11125.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/hero/seed_2,
hero,3,completed,True,440000,110000,update_trace_v6,439340,13355.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/hero/seed_3,
hero,4,completed,True,440000,110000,update_trace_v6,435140,7500.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/hero/seed_4,
james_bond,0,completed,True,440000,110000,update_trace_v6,436192,650.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/james_bond/seed_0,
james_bond,1,completed,True,440000,110000,update_trace_v6,436824,650.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/james_bond/seed_1,
james_bond,2,completed,True,440000,110000,update_trace_v6,433188,500.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/james_bond/seed_2,
james_bond,3,completed,True,440000,110000,update_trace_v6,437984,300.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/james_bond/seed_3,
james_bond,4,completed,True,440000,110000,update_trace_v6,438020,300.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/james_bond/seed_4,
kangaroo,0,completed,True,440000,110000,update_trace_v6,438672,1000.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/kangaroo/seed_0,
kangaroo,1,completed,True,440000,110000,update_trace_v6,438220,1400.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/kangaroo/seed_1,
kangaroo,2,completed,True,440000,110000,update_trace_v6,438500,1200.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/kangaroo/seed_2,
kangaroo,3,completed,True,440000,110000,update_trace_v6,439648,1000.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/kangaroo/seed_3,
kangaroo,4,completed,True,440000,110000,update_trace_v6,439696,400.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/kangaroo/seed_4,
krull,0,completed,True,440000,110000,update_trace_v6,434584,13630.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/krull/seed_0,
krull,1,completed,True,440000,110000,update_trace_v6,435600,6540.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/krull/seed_1,
krull,2,completed,True,440000,110000,update_trace_v6,434708,8060.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/krull/seed_2,
krull,3,completed,True,440000,110000,update_trace_v6,436696,5740.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/krull/seed_3,
krull,4,completed,True,440000,110000,update_trace_v6,436076,6090.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/krull/seed_4,
kung_fu_master,0,completed,True,440000,110000,update_trace_v6,437588,13800.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/kung_fu_master/seed_0,
kung_fu_master,1,completed,True,440000,110000,update_trace_v6,428368,22600.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/kung_fu_master/seed_1,
kung_fu_master,2,completed,True,440000,110000,update_trace_v6,438740,27400.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/kung_fu_master/seed_2,
kung_fu_master,3,completed,True,440000,110000,update_trace_v6,436032,31400.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/kung_fu_master/seed_3,
kung_fu_master,4,completed,True,440000,110000,update_trace_v6,432592,14300.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/kung_fu_master/seed_4,
ms_pacman,0,completed,True,440000,110000,update_trace_v6,437852,3830.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/ms_pacman/seed_0,
